aX,aY,aZ,gX,gY,gZ
-1.194,3.154,0.241,116.821,-59.631,279.785
-1.090,3.172,0.252,109.131,-51.575,241.638
-0.906,3.124,0.178,89.539,-31.311,173.889
-0.782,2.935,0.089,65.369,-9.094,79.834
-0.759,2.545,0.026,49.438,13.245,-15.930
-0.726,2.071,-0.048,42.236,30.518,-80.261
-0.621,1.700,-0.146,35.339,34.851,-102.417
-0.041,0.969,0.508,38.147,74.524,-256.531
-0.059,0.848,0.422,49.561,90.759,-263.855
-0.033,0.682,0.349,56.458,99.060,-270.508
0.055,0.558,0.311,52.246,98.267,-272.461
0.020,0.491,0.284,37.476,88.806,-265.137
0.092,0.416,0.262,21.667,82.153,-254.761
0.232,0.359,0.251,4.822,72.693,-247.864
0.309,0.324,0.261,-7.202,59.570,-240.845
0.364,0.258,0.284,-11.047,52.856,-233.459
0.414,0.176,0.307,-9.521,53.101,-228.271
0.482,0.074,0.326,-4.395,54.321,-224.487
0.505,-0.013,0.354,1.404,56.213,-216.675
0.509,-0.070,0.358,5.127,60.852,-203.186
0.555,-0.120,0.322,11.536,66.650,-188.110
0.594,-0.181,0.285,24.719,70.618,-175.415
0.566,-0.254,0.267,41.870,72.144,-165.161
0.586,-0.360,0.227,56.030,73.792,-154.602
0.617,-0.491,0.193,61.523,73.486,-142.456
0.632,-0.611,0.193,55.664,67.871,-128.784
0.626,-0.725,0.232,39.001,59.814,-111.084
0.633,-0.828,0.284,15.320,50.659,-89.417
0.635,-0.903,0.336,-8.301,42.053,-65.308
0.633,-0.980,0.397,-23.987,39.246,-36.926
0.584,-1.023,0.452,-31.799,42.358,-8.057
0.519,-1.090,0.471,-34.180,51.941,20.203
0.423,-1.225,0.482,-30.212,63.049,48.340
0.359,-1.414,0.477,-26.733,70.984,73.914
0.330,-1.612,0.477,-28.381,74.463,103.271
0.212,-1.778,0.547,-33.875,78.064,142.395
0.109,-1.839,0.548,-39.307,91.064,194.702
-0.135,-1.757,0.501,-34.790,120.178,261.963
-0.505,-1.520,0.415,-10.193,159.241,341.980
-0.784,-1.087,0.329,31.372,185.852,418.823
-1.026,-0.473,0.302,73.059,183.105,482.544
-1.286,0.174,0.344,105.591,162.720,532.654
-1.367,0.762,0.368,132.324,142.700,558.716
-1.315,1.335,0.386,160.217,118.042,561.707
-1.274,1.840,0.471,196.411,91.858,549.561
-1.184,2.150,0.603,233.032,79.285,515.747
-1.028,2.274,0.700,251.587,80.261,459.106
-0.906,2.276,0.714,242.737,95.947,390.015
-0.889,2.241,0.656,216.553,122.498,325.623
-0.930,2.276,0.549,192.139,146.729,278.992
-0.970,2.376,0.444,181.763,155.762,256.653
-0.949,2.519,0.388,181.458,146.851,251.343
-0.891,2.695,0.399,174.683,131.531,247.314
-0.845,2.850,0.452,152.100,117.798,236.267
-0.799,2.962,0.497,115.173,107.178,212.280
-0.789,3.003,0.518,73.547,98.694,174.133
-0.797,2.968,0.514,36.194,91.553,125.122
-0.699,2.859,0.498,7.690,83.862,75.256
-0.700,2.709,0.467,-14.954,71.350,33.813
-0.579,2.523,0.486,-31.616,53.040,-3.296
-0.551,2.333,0.595,-44.434,34.302,-31.006
-0.466,2.186,0.656,-61.401,28.137,-46.448
-0.426,2.138,0.641,-84.717,33.508,-55.420
-0.391,2.116,0.569,-104.492,40.771,-67.200
-0.350,2.084,0.493,-120.117,46.143,-81.116
-0.296,2.040,0.421,-137.085,47.729,-94.543
-0.282,2.006,0.380,-158.630,41.931,-110.657
-0.201,1.949,0.363,-182.739,34.119,-131.042
-0.153,1.848,0.329,-209.656,28.809,-155.396
-0.160,1.670,0.323,-234.680,22.278,-186.462
-0.301,1.443,0.299,-263.367,21.057,-217.224
-0.322,1.168,0.192,-298.645,30.090,-240.112
-0.252,0.894,0.052,-336.792,36.499,-250.427
-0.137,0.690,-0.041,-369.629,26.978,-246.338
-0.077,0.598,-0.077,-390.198,6.287,-229.675
-0.004,0.570,-0.067,-392.090,-11.719,-204.529
0.046,0.565,-0.038,-381.409,-20.325,-181.458
0.112,0.543,-0.021,-365.723,-16.174,-169.189
0.180,0.482,-0.033,-352.783,-3.357,-166.992
0.184,0.414,-0.075,-347.290,15.991,-168.335
0.175,0.333,-0.156,-344.604,37.781,-170.837
0.170,0.233,-0.267,-337.036,56.396,-173.828
0.157,0.113,-0.370,-321.533,69.153,-176.270
0.125,0.000,-0.457,-297.668,76.172,-175.964
-0.023,-0.139,-0.531,-270.752,79.102,-171.265
0.055,-0.319,-0.673,-247.375,80.872,-160.767
0.099,-0.453,-0.771,-229.675,68.604,-140.808
0.087,-0.513,-0.800,-214.722,47.058,-112.061
0.087,-0.526,-0.810,-201.843,26.733,-80.872
0.104,-0.504,-0.805,-187.073,9.949,-53.040
0.100,-0.483,-0.774,-167.908,-4.761,-30.701
0.109,-0.493,-0.735,-145.264,-16.418,-13.367
0.117,-0.538,-0.669,-124.023,-23.743,-1.282
0.098,-0.568,-0.628,-109.619,-24.597,12.024
0.071,-0.590,-0.641,-100.159,-19.470,28.687
0.034,-0.649,-0.689,-87.646,-13.245,44.128
-0.012,-0.762,-0.762,-74.097,-9.094,58.289
-0.070,-0.949,-0.833,-63.538,-11.597,75.378
-0.089,-1.188,-0.914,-61.951,-22.156,95.825
-0.102,-1.452,-0.951,-63.538,-42.358,122.925
-0.228,-1.687,-0.892,-57.739,-66.589,156.799
-0.329,-1.874,-0.789,-36.621,-85.266,198.547
-0.514,-1.921,-0.596,5.432,-100.830,252.930
-0.857,-1.769,-0.347,65.308,-111.816,324.646
-1.136,-1.376,-0.164,132.080,-113.220,410.339
-1.281,-0.712,-0.115,198.730,-114.807,500.366
-1.430,-0.002,-0.127,261.780,-125.488,574.524
-1.374,0.579,-0.123,313.293,-139.526,615.601
-1.230,1.137,-0.099,328.796,-167.053,621.826
-1.063,1.682,-0.048,294.312,-197.510,600.586
-0.890,2.072,0.028,226.379,-208.618,544.861
-0.714,2.196,0.116,154.663,-193.115,448.730
-0.653,1.951,0.234,101.440,-157.043,325.867
-0.634,1.510,0.291,71.411,-107.910,223.389
-0.964,1.336,0.298,53.955,-64.026,184.753
-1.125,1.610,0.187,56.274,-40.283,220.337
-1.231,2.267,0.064,84.900,-35.706,275.330
-1.146,2.842,-0.014,127.563,-45.288,300.598
-1.042,3.052,0.096,158.203,-60.242,284.119
-1.056,3.106,0.270,158.936,-70.923,249.023
-0.949,3.139,0.310,124.939,-64.392,197.998
-0.852,3.071,0.276,85.632,-48.218,125.488
-0.676,2.803,0.210,57.617,-29.846,36.804
-0.608,2.354,0.219,39.795,-15.503,-42.480
-0.484,1.941,0.209,26.245,-4.456,-86.304
-0.371,1.645,0.168,19.409,5.676,-100.708
0.232,0.359,0.251,4.822,72.693,-247.864
0.309,0.324,0.261,-7.202,59.570,-240.845
0.364,0.258,0.284,-11.047,52.856,-233.459
0.414,0.176,0.307,-9.521,53.101,-228.271
0.482,0.074,0.326,-4.395,54.321,-224.487
0.505,-0.013,0.354,1.404,56.213,-216.675
0.509,-0.070,0.358,5.127,60.852,-203.186
0.555,-0.120,0.322,11.536,66.650,-188.110
0.594,-0.181,0.285,24.719,70.618,-175.415
0.566,-0.254,0.267,41.870,72.144,-165.161
0.586,-0.360,0.227,56.030,73.792,-154.602
0.617,-0.491,0.193,61.523,73.486,-142.456
0.632,-0.611,0.193,55.664,67.871,-128.784
0.626,-0.725,0.232,39.001,59.814,-111.084
0.633,-0.828,0.284,15.320,50.659,-89.417
0.635,-0.903,0.336,-8.301,42.053,-65.308
0.633,-0.980,0.397,-23.987,39.246,-36.926
0.584,-1.023,0.452,-31.799,42.358,-8.057
0.519,-1.090,0.471,-34.180,51.941,20.203
0.423,-1.225,0.482,-30.212,63.049,48.340
0.359,-1.414,0.477,-26.733,70.984,73.914
0.330,-1.612,0.477,-28.381,74.463,103.271
0.212,-1.778,0.547,-33.875,78.064,142.395
0.109,-1.839,0.548,-39.307,91.064,194.702
-0.135,-1.757,0.501,-34.790,120.178,261.963
-0.505,-1.520,0.415,-10.193,159.241,341.980
-0.784,-1.087,0.329,31.372,185.852,418.823
-1.026,-0.473,0.302,73.059,183.105,482.544
-1.286,0.174,0.344,105.591,162.720,532.654
-1.367,0.762,0.368,132.324,142.700,558.716
-1.315,1.335,0.386,160.217,118.042,561.707
-1.274,1.840,0.471,196.411,91.858,549.561
-1.184,2.150,0.603,233.032,79.285,515.747
-1.028,2.274,0.700,251.587,80.261,459.106
-1.217,0.815,-0.601,216.431,-76.904,539.246
-1.224,1.400,-0.456,239.258,-101.929,542.114
-1.256,1.896,-0.283,241.028,-120.789,522.156
-1.216,2.275,-0.181,210.144,-119.019,473.206
-1.220,2.593,-0.178,147.949,-100.708,401.306
-1.186,2.748,-0.241,82.520,-77.881,314.026
-1.282,2.653,-0.245,34.546,-66.467,235.352
-1.266,2.530,-0.307,4.333,-56.152,188.599
-1.196,2.471,-0.352,-1.648,-52.246,163.940
-1.050,2.501,-0.344,15.808,-56.396,150.269
-0.870,2.564,-0.318,39.673,-57.495,136.108
-0.714,2.633,-0.307,55.237,-48.706,114.624
-0.615,2.620,-0.276,58.716,-40.894,84.534
-0.546,2.528,-0.222,50.171,-38.513,49.805
-0.508,2.332,-0.169,32.593,-34.119,10.803
-0.447,2.083,-0.163,15.991,-22.949,-25.879
-0.373,1.826,-0.178,9.766,-9.216,-56.763
-0.284,1.561,-0.244,14.709,1.892,-75.989
-0.217,1.332,-0.347,23.071,10.010,-81.421
-0.131,1.190,-0.468,30.151,14.404,-77.209
-0.062,1.096,-0.549,37.354,14.160,-69.824
-0.013,1.024,-0.585,42.114,9.460,-63.660
0.020,0.976,-0.595,40.466,4.578,-58.472
0.027,0.952,-0.604,35.095,2.747,-52.917
0.030,0.929,-0.608,30.334,2.075,-48.157
0.029,0.902,-0.588,28.381,-0.793,-44.739
0.025,0.876,-0.551,28.870,-4.395,-41.931
0.007,0.860,-0.514,29.846,-5.981,-37.720
-0.003,0.852,-0.489,28.992,-6.165,-33.691
-0.020,0.844,-0.464,26.123,-6.165,-30.457
-0.019,0.836,-0.440,20.935,-7.202,-27.588
-0.021,0.841,-0.415,15.076,-8.301,-24.414
-0.026,0.850,-0.391,11.780,-8.118,-21.973
-0.023,0.844,-0.363,12.268,-6.958,-21.240
-0.015,0.822,-0.348,13.306,-4.333,-22.156
-0.009,0.795,-0.357,12.634,0.732,-21.667
-0.007,0.778,-0.376,11.169,5.737,-18.921
-0.010,0.769,-0.390,10.559,8.240,-15.320
-0.018,0.775,-0.401,11.902,9.644,-11.047
-0.019,0.789,-0.420,13.794,10.620,-6.653
-0.018,0.800,-0.444,15.076,11.780,-3.784
-0.023,0.810,-0.457,14.648,12.146,-2.991
-0.026,0.816,-0.458,13.184,11.414,-2.502
-0.034,0.825,-0.453,11.169,10.254,-1.770
-0.042,0.841,-0.444,10.132,9.949,-0.610
-0.046,0.855,-0.431,11.292,10.010,0.122
-0.049,0.866,-0.420,13.794,10.193,-0.671
-0.062,0.866,-0.421,17.273,12.329,-1.953
-0.060,0.853,-0.437,20.081,15.686,-3.052
-0.081,0.844,-0.452,20.508,18.005,-3.906
-0.100,0.850,-0.471,20.813,19.043,-3.601
-0.115,0.865,-0.495,25.085,18.799,-1.953
-0.126,0.879,-0.507,32.776,18.372,0.183
-0.138,0.900,-0.515,37.476,17.639,2.197
-0.147,0.935,-0.517,36.682,15.259,4.700
-0.164,0.982,-0.507,32.227,11.475,6.165
-0.179,1.029,-0.488,29.663,8.606,6.470
-0.193,1.082,-0.452,31.921,6.653,4.944
-0.199,1.141,-0.413,39.307,5.615,2.563
-0.210,1.208,-0.370,51.025,7.141,-0.549
-0.213,1.280,-0.339,67.627,11.841,-4.639
-0.214,1.337,-0.342,87.524,18.555,-11.108
-0.200,1.353,-0.367,107.666,28.748,-18.860
-0.207,1.359,-0.402,119.873,38.330,-27.222
-0.218,1.379,-0.432,122.070,42.908,-33.936
-0.227,1.417,-0.442,120.544,40.100,-37.659
-0.227,1.476,-0.410,121.582,33.020,-40.710
-0.217,1.534,-0.326,127.747,23.926,-45.898
-0.199,1.583,-0.230,137.634,17.456,-53.284
-0.170,1.610,-0.155,149.292,18.188,-63.171
-0.152,1.597,-0.103,161.377,26.794,-75.928
-0.129,1.538,-0.091,169.250,40.466,-90.576
-0.118,1.466,-0.114,172.363,55.237,-103.394
-0.100,1.388,-0.155,172.119,65.674,-112.793
-0.081,1.314,-0.191,170.593,69.763,-117.615
-0.065,1.250,-0.203,167.114,67.749,-118.896
-0.031,1.207,-0.190,160.156,62.439,-118.225
0.016,1.162,-0.171,149.719,56.335,-115.356
0.032,1.161,-0.137,137.573,48.218,-111.877
0.050,1.184,-0.085,124.207,38.757,-110.718
0.085,1.214,-0.035,111.206,32.104,-110.291
0.110,1.224,0.013,99.487,29.663,-113.342
0.137,1.199,0.037,89.111,34.424,-120.239
0.149,1.153,0.030,80.200,42.053,-130.981
0.157,1.085,0.018,75.562,47.852,-142.029
0.486,0.128,-0.063,87.891,53.406,-224.548
0.498,0.064,-0.055,87.280,47.180,-222.717
0.498,0.002,-0.047,82.764,42.236,-218.262
0.501,-0.042,-0.032,74.707,40.161,-212.097
0.485,-0.078,-0.039,65.857,38.208,-206.055
0.478,-0.129,-0.068,59.814,38.025,-202.026
0.504,-0.237,-0.101,55.420,39.368,-200.745
0.569,-0.368,-0.140,46.875,35.950,-202.393
0.585,-0.492,-0.163,28.687,28.259,-206.482
0.579,-0.644,-0.142,1.038,16.724,-210.449
0.553,-0.805,-0.089,-34.790,2.563,-208.923
0.521,-0.950,-0.019,-79.895,-14.099,-201.660
0.458,-1.090,0.072,-128.723,-31.860,-188.293
0.437,-1.201,0.185,-175.415,-49.744,-169.556
0.431,-1.283,0.319,-210.205,-70.251,-143.250
1.040,-1.723,0.501,-222.473,-84.290,-107.300
0.110,-1.728,1.088,-178.406,-54.321,-28.320
0.212,-1.803,1.104,-71.899,-1.892,70.618
0.369,-1.730,0.905,14.526,39.185,136.780
0.452,-1.669,0.669,45.532,66.528,184.753
0.411,-1.638,0.522,29.541,82.581,217.957
0.240,-1.613,0.437,-2.991,85.510,248.169
0.054,-1.612,0.345,-29.236,85.876,284.973
-0.127,-1.562,0.221,-45.776,92.102,326.843
-0.332,-1.358,0.158,-54.688,93.689,369.873
-0.573,-0.901,0.180,-60.181,73.914,418.518
-0.722,-0.295,0.288,-60.852,42.175,469.788
-0.847,0.274,0.474,-49.744,27.283,507.751
-0.888,0.835,0.552,-36.865,39.001,526.855
-0.971,1.273,0.531,-25.940,61.035,525.574
-0.846,1.587,0.402,-17.700,82.397,505.432
-0.797,1.731,0.270,-21.484,96.375,468.506
-0.735,1.830,0.095,-48.523,105.469,422.119
-0.693,1.877,-0.086,-87.585,108.093,378.784
-0.675,1.938,-0.219,-120.667,103.882,343.201
-0.703,2.134,-0.312,-136.475,96.497,320.984
-0.679,2.389,-0.375,-128.296,91.248,314.270
-0.643,2.602,-0.422,-104.248,90.698,312.744
-0.619,2.838,-0.507,-87.830,96.924,303.284
-0.614,3.070,-0.606,-78.369,100.525,281.128
-0.565,3.254,-0.702,-66.345,95.093,245.483
-0.510,3.306,-0.749,-51.147,86.487,198.730
-0.463,3.259,-0.773,-44.067,77.942,143.066
-0.426,3.125,-0.796,-48.035,69.275,83.984
-0.386,2.913,-0.822,-58.105,59.692,30.579
-0.342,2.681,-0.838,-69.153,48.767,-7.690
-0.286,2.515,-0.831,-74.097,33.203,-30.212
-0.213,2.384,-0.772,-69.824,15.381,-43.030
-0.183,2.271,-0.671,-68.054,0.000,-54.382
-0.111,2.202,-0.568,-74.036,-8.606,-67.383
-0.088,2.135,-0.466,-80.078,-13.733,-81.909
-0.067,2.041,-0.384,-80.444,-15.686,-97.412
-0.053,1.901,-0.296,-79.895,-15.442,-115.662
-0.028,1.763,-0.242,-85.754,-13.123,-134.094
0.012,1.607,-0.201,-96.863,-11.475,-151.306
0.052,1.432,-0.158,-110.596,-11.108,-167.419
0.084,1.244,-0.113,-127.075,-11.780,-182.495
0.113,1.068,-0.067,-144.531,-11.902,-193.848
0.119,0.901,-0.029,-159.607,-10.071,-201.355
0.134,0.738,-0.011,-169.556,-4.395,-203.857
0.143,0.594,-0.020,-176.086,3.967,-201.965
0.166,0.447,-0.044,-177.917,12.146,-195.862
0.200,0.315,-0.068,-176.636,18.921,-186.096
0.210,0.220,-0.097,-175.171,23.926,-172.668
0.228,0.140,-0.138,-171.936,27.771,-157.410
0.261,0.069,-0.183,-163.757,32.898,-139.954
0.260,0.005,-0.243,-156.372,39.551,-123.230
0.287,-0.040,-0.339,-153.442,46.936,-107.727
0.291,-0.059,-0.435,-151.917,50.903,-92.651
0.280,-0.061,-0.515,-147.156,51.208,-78.491
0.281,-0.071,-0.560,-139.282,47.852,-64.758
0.265,-0.070,-0.572,-133.057,42.969,-51.331
0.256,-0.038,-0.597,-133.789,40.894,-40.039
0.221,0.003,-0.638,-134.399,41.382,-32.898
0.177,0.015,-0.673,-127.930,42.053,-30.457
0.128,-0.014,-0.715,-116.943,41.260,-32.043
0.123,-0.082,-0.763,-105.103,39.307,-33.020
0.086,-0.146,-0.817,-95.276,35.339,-29.968
0.069,-0.225,-0.873,-90.271,32.715,-23.071
0.016,-0.273,-0.940,-93.811,28.259,-13.184
0.014,-0.308,-0.998,-100.281,19.775,-1.953
-0.004,-0.327,-1.004,-99.915,3.540,10.071
-0.026,-0.322,-0.977,-91.431,-13.245,22.949
-0.022,-0.307,-0.947,-76.477,-24.780,36.377
-0.036,-0.274,-0.932,-59.021,-31.067,47.729
-0.040,-0.265,-0.946,-38.757,-34.180,52.063
-0.055,-0.335,-0.942,-16.846,-38.513,52.124
-0.036,-0.396,-0.939,-2.563,-45.227,54.626
-0.067,-0.416,-0.953,2.319,-51.880,65.613
-0.104,-0.436,-0.996,6.836,-55.420,81.116
-0.066,-0.489,-1.056,14.404,-62.134,92.529
-0.099,-0.568,-1.047,23.376,-78.064,101.685
-0.082,-0.724,-1.035,28.442,-93.933,114.929
-0.001,-0.855,-1.022,25.635,-109.009,130.310
-0.018,-0.944,-0.943,24.963,-124.756,152.832
0.018,-1.034,-0.846,35.706,-133.728,180.847
0.034,-1.119,-0.736,55.847,-136.108,211.853
-0.036,-1.113,-0.627,77.515,-129.333,247.009
-0.200,-1.038,-0.521,99.854,-118.042,288.208
-0.373,-0.817,-0.365,118.774,-112.488,331.543
-0.534,-0.355,-0.197,128.845,-118.347,381.226
-0.687,0.206,-0.018,137.695,-123.108,427.795
-0.925,0.808,0.185,143.311,-115.662,454.346
-1.107,1.504,0.309,139.648,-107.178,466.919
-1.238,2.174,0.377,136.292,-95.337,481.262
-1.170,2.709,0.343,134.888,-79.346,481.079
-1.281,3.006,0.448,139.404,-66.589,460.388
-1.395,3.276,0.572,154.358,-57.007,436.279
-1.338,3.497,0.586,162.659,-47.424,414.246
-1.350,3.601,0.570,159.180,-34.546,388.489
-1.194,3.641,0.431,140.991,-10.254,341.370
-1.089,3.620,0.193,108.215,5.981,263.000
-0.808,3.558,-0.030,70.862,10.010,151.245
-0.657,3.208,-0.057,37.109,0.977,22.339
-0.650,2.622,0.039,8.484,-6.165,-87.158
-0.585,2.091,0.038,-18.066,6.287,-148.804
-0.401,1.689,-0.079,-31.677,26.123,-171.875
-0.240,1.354,-0.202,-21.240,29.907,-173.462
-0.079,1.059,-0.268,1.953,21.484,-164.856
0.383,0.281,-0.041,91.797,70.496,-201.721
0.405,0.234,-0.025,72.876,62.012,-197.571
0.438,0.193,-0.015,53.223,52.612,-193.359
0.458,0.159,-0.019,36.682,45.166,-188.538
0.464,0.107,-0.028,26.611,41.931,-185.364
0.498,0.037,-0.035,24.353,38.757,-186.340
0.490,-0.047,-0.039,27.405,33.691,-189.453
0.493,-0.164,-0.030,32.288,28.931,-192.627
0.542,-0.305,-0.019,34.485,22.400,-193.970
0.575,-0.454,0.009,29.785,12.390,-192.444
0.615,-0.608,0.063,15.259,2.808,-186.890
0.657,-0.794,0.145,-12.817,-4.517,-175.903
0.685,-0.939,0.244,-57.861,-7.263,-158.569
0.648,-1.054,0.327,-114.868,-4.456,-131.470
0.581,-1.130,0.401,-167.542,4.822,-96.680
0.528,-1.144,0.418,-202.454,17.334,-57.983
0.544,-1.156,0.376,-208.557,32.349,-21.667
0.456,-1.207,0.374,-180.969,46.875,10.071
0.394,-1.320,0.361,-131.958,58.167,44.617
0.384,-1.450,0.350,-79.834,63.721,83.496
0.392,-1.595,0.349,-37.720,65.674,131.409
0.314,-1.629,0.354,-16.174,72.510,190.491
0.090,-1.512,0.350,-12.939,89.172,256.226
-0.125,-1.215,0.318,-16.785,104.614,317.444
-0.309,-0.791,0.299,-10.620,109.070,375.427
-0.443,-0.314,0.325,10.071,104.492,430.115
-0.635,0.216,0.374,32.104,101.135,477.173
-0.720,0.819,0.373,45.471,103.210,509.766
-0.839,1.380,0.378,55.359,102.783,525.879
-0.897,1.818,0.378,58.044,103.577,521.912
-0.859,2.157,0.343,40.588,103.516,491.760
-0.793,2.392,0.276,0.061,97.839,438.416
-0.742,2.525,0.209,-48.706,94.482,371.582
-0.719,2.573,0.136,-86.365,95.703,304.321
-0.667,2.560,0.038,-99.670,104.126,248.047
-0.667,2.537,-0.048,-91.003,113.647,210.754
-0.616,2.581,-0.191,-74.463,121.582,192.078
-0.566,2.680,-0.386,-61.157,132.690,181.580
-0.540,2.784,-0.568,-50.842,141.235,166.321
-0.500,2.843,-0.701,-42.786,138.672,142.029
-0.470,2.838,-0.766,-38.696,127.869,110.718
-0.451,2.752,-0.784,-41.199,113.159,72.021
-0.418,2.616,-0.809,-47.241,98.877,32.410
-0.388,2.426,-0.849,-54.199,88.684,-2.136
-0.289,2.228,-0.874,-58.899,79.834,-28.381
-0.303,2.090,-0.881,-60.120,67.871,-44.434
-0.244,1.957,-0.843,-55.054,51.147,-56.458
-0.196,1.846,-0.783,-50.476,37.292,-62.317
-0.148,1.785,-0.734,-50.415,29.053,-65.125
-0.123,1.755,-0.682,-54.626,22.827,-68.054
-0.074,1.732,-0.669,-62.744,19.653,-71.655
-0.078,1.666,-0.641,-71.960,19.592,-78.857
-0.059,1.597,-0.626,-81.604,17.883,-89.783
-0.038,1.509,-0.582,-89.783,11.353,-104.004
-0.042,1.417,-0.509,-95.520,2.991,-115.479
0.001,1.340,-0.449,-101.990,-2.747,-126.160
0.009,1.254,-0.392,-106.262,-6.226,-136.414
0.009,1.147,-0.343,-107.788,-7.935,-148.254
0.019,1.019,-0.306,-107.971,-7.080,-161.011
0.033,0.869,-0.282,-109.314,-4.456,-171.875
0.036,0.711,-0.294,-113.159,1.221,-178.406
0.047,0.570,-0.353,-119.690,8.850,-178.894
0.098,0.436,-0.432,-125.366,14.343,-174.011
0.158,0.331,-0.501,-126.892,12.695,-164.856
0.180,0.268,-0.550,-123.169,3.357,-152.710
0.218,0.220,-0.570,-113.281,-7.996,-140.381
0.275,0.167,-0.557,-100.769,-16.602,-126.282
0.282,0.142,-0.514,-94.543,-19.653,-110.229
0.272,0.177,-0.502,-99.182,-13.733,-92.773
0.270,0.243,-0.540,-103.882,-4.089,-78.064
0.262,0.284,-0.601,-100.525,4.272,-70.984
0.229,0.281,-0.652,-90.820,10.315,-71.716
0.203,0.265,-0.699,-81.787,12.207,-74.951
0.188,0.234,-0.732,-76.050,8.606,-76.721
0.179,0.194,-0.749,-71.655,1.770,-77.515
0.183,0.136,-0.749,-65.979,-5.188,-78.430
0.172,0.080,-0.727,-59.265,-11.658,-79.224
0.181,0.028,-0.690,-53.772,-18.860,-77.759
0.154,-0.013,-0.647,-51.514,-24.780,-71.228
0.153,-0.006,-0.616,-54.321,-26.550,-62.683
0.157,0.002,-0.596,-59.937,-29.480,-54.626
0.148,-0.018,-0.607,-66.162,-30.273,-49.377
0.156,-0.069,-0.664,-74.585,-24.170,-50.720
0.128,-0.138,-0.733,-82.886,-18.738,-55.786
0.091,-0.238,-0.803,-87.891,-17.944,-61.401
0.023,-0.365,-0.865,-88.074,-21.851,-66.406
0.020,-0.520,-0.925,-85.449,-32.471,-71.594
0.053,-0.743,-0.940,-82.764,-50.537,-72.571
-0.001,-0.977,-0.915,-87.402,-70.557,-67.444
0.016,-1.288,-0.913,-101.318,-88.013,-59.143
0.197,-1.637,-0.918,-120.300,-104.614,-45.227
0.171,-2.003,-0.838,-131.897,-120.667,-21.362
0.137,-2.376,-0.711,-127.136,-126.160,14.893
0.026,-2.576,-0.580,-111.389,-123.840,73.486
-0.234,-2.496,-0.450,-91.858,-108.948,163.208
-0.738,-2.125,-0.258,-50.598,-84.534,294.434
-1.178,-1.270,-0.099,29.602,-73.669,460.144
-1.543,-0.158,0.048,148.682,-88.867,626.587
-1.808,0.957,0.227,270.325,-112.488,752.930
-2.016,1.978,0.478,362.793,-134.155,831.055
-2.194,2.784,0.741,404.175,-168.579,873.291
-2.185,3.283,0.873,370.972,-176.453,878.845
-2.110,3.641,0.761,277.100,-161.499,836.548
-1.714,3.997,0.510,166.626,-144.287,704.407
-1.069,4.000,0.400,86.060,-132.690,487.183
-1.018,3.708,0.655,38.818,-121.765,250.061
-1.103,3.103,0.828,2.319,-93.567,83.252
-0.975,2.657,0.736,-16.541,-52.795,13.489
-0.906,2.362,0.505,-6.226,-14.404,-0.732
-0.546,2.147,0.258,18.372,12.573,-7.141
-0.407,1.886,0.168,27.832,12.207,-15.625
